"Expense Type",Description,"Expense Amount","Expense Date","Expense Files","Expense Loan#","Bank Account"
"Grove Park Finance Commission",,1500.00,05/06/2019,,1000001,"Starling Bank"
"Grove Park Finance Commission",,750.00,30/09/2019,,1000002,"Starling Bank"
"Grove Park Finance Commission",,1500.00,15/11/2019,,1000007,"Starling Bank"
"Grove Park Finance Commission",,1500.00,18/01/2020,,1000003,"Starling Bank"
"Grove Park Finance Commission",,1500.00,17/02/2020,,1000004,"Starling Bank"
"Grove Park Finance Commission",,1500.00,27/02/2020,,1000005,"Starling Bank"
"Grove Park Finance Commission",,1500.00,17/04/2020,,1000006,"Starling Bank"
"Grove Park Finance Commission",,1500.00,17/04/2020,,1000008,"Starling Bank"
"Grove Park Finance Commission",,1500.00,28/07/2020,,1000009,"Starling Bank"
"Grove Park Finance Commission",,1500.00,10/08/2020,,1000010,"Starling Bank"
"Legal and Professional Fees","CGA Accoutant",360.00,01/03/2019,,N/A,"Starling Bank"
"Legal and Professional Fees",Clarion,20.00,22/05/2019,,N/A,"Starling Bank"
"Legal and Professional Fees",Clarion,40.00,24/10/2019,,N/A,"Starling Bank"
"Legal and Professional Fees","CGA Accoutant",113.00,15/11/2019,,N/A,"Starling Bank"
Miscellaneous,General,40.00,20/12/2019,,N/A,"Starling Bank"
"Computer Software",Google,23.46,01/03/2020,,N/A,"Starling Bank"
"Computer Software",Google,23.46,02/04/2020,,N/A,"Starling Bank"
"Computer Software",Google,23.47,01/05/2020,,N/A,"Starling Bank"
"Computer Software",Google,23.46,02/06/2020,,N/A,"Starling Bank"
"Legal and Professional Fees","CGA Accoutant",20.00,29/06/2020,,N/A,"Starling Bank"
"Computer Software",Google,23.46,03/07/2020,,N/A,"Starling Bank"
"Computer Software",Google,23.46,01/08/2020,,N/A,"Starling Bank"
"Computer Software",Google,23.46,02/09/2020,,N/A,"Starling Bank"
"Computer Software","Google ",23.46,02/10/2020,,N/A,"Starling Bank"
"Computer Software",Loandisk,69.70,21/10/2020,,N/A,"Starling Bank"
"Grove Park Finance Commission",,1500.00,31/10/2020,,1000011,"Starling Bank"
"Computer Software",Google,27.34,01/11/2020,,N/A,"Starling Bank"
"Computer Software","sp34 hosting fees",42.40,05/11/2020,,N/A,"Starling Bank"
"Computer Software","Loandisk subscription",68.19,20/11/2020,,N/A,"Starling Bank"
"Legal and Professional Fees","CGA Accountant fees",960.00,01/12/2020,,N/A,"Starling Bank"
"Computer Software",Google,27.60,03/12/2020,,N/A,"Starling Bank"
"Grove Park Finance Commission",,1500.00,04/12/2020,,1000012,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,10687.67,11/02/2020,,1000007,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,2709.57,24/02/2020,,1000004,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,2056.85,28/02/2020,,1000002,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,4123.29,30/03/2020,,1000005,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1182.82,01/04/2020,,1000004,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,700.60,01/04/2020,,1000002,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,3416.44,01/05/2020,,1000005,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1791.64,01/05/2020,,1000004,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,438.36,01/05/2020,,1000006,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,655.48,01/05/2020,,1000002,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,3534.25,04/06/2020,,1000004,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,3706.85,04/06/2020,,1000004,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,5930.61,04/06/2020,,1000004,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,821.92,04/06/2020,,1000006,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,678.08,04/06/2020,,1000002,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,3416.44,02/07/2020,,1000005,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,3583.29,02/07/2020,,1000004,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,794.52,02/07/2020,,1000006,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,655.48,02/07/2020,,1000002,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,3534.25,01/08/2020,,1000005,"Starling Bank"
